timestamp,open,high,low,close,volume,turnover
2020-08-11 00:00:00+00:00,2.85,3.5208,2.8433,3.2985,1552384.78,5120541.196830001
2020-08-12 00:00:00+00:00,3.2985,3.9289,3.08,3.7558,1737042.95,6523985.91161
2020-08-13 00:00:00+00:00,3.75,4.1387,3.5003,3.73,1685759.24,6287881.9651999995
2020-08-14 00:00:00+00:00,3.7207,3.7676,3.321,3.4099,1474161.79,5026744.287721
2020-08-15 00:00:00+00:00,3.4181,3.74,3.15,3.173,1070233.2,3395849.9436
2020-08-16 00:00:00+00:00,3.173,3.4907,3.12,3.3885,668106.53,2263878.976905
2020-08-17 00:00:00+00:00,3.3885,3.3952,3.1,3.11,729413.64,2268476.4204
2020-08-18 00:00:00+00:00,3.11,3.7092,2.8105,3.3407,2713115.94,9063706.420758
2020-08-19 00:00:00+00:00,3.334,3.49,2.8,2.8868,1433243.76,4137488.086368
2020-08-20 00:00:00+00:00,2.8962,3.445,2.8871,3.2038,1277827.32,4093903.1678160005
2020-08-21 00:00:00+00:00,3.2038,3.24,2.89,2.9317,1131895.9,3318379.2100299997
2020-08-22 00:00:00+00:00,2.9213,3.2,2.7431,3.0126,1169417.78,3522988.004028
2020-08-23 00:00:00+00:00,3.0224,3.4,3.0014,3.25,1198036.69,3893619.2424999997
2020-08-24 00:00:00+00:00,3.2658,3.62,3.21,3.3405,1315196.06,4393412.43843
2020-08-25 00:00:00+00:00,3.3406,3.3654,3.0001,3.25,1149187.37,3734858.9525000006
2020-08-26 00:00:00+00:00,3.2576,3.7999,3.1809,3.5684,2290030.56,8171745.050304
2020-08-27 00:00:00+00:00,3.5557,3.8575,3.2434,3.4501,2412974.8,8325004.357479999
2020-08-28 00:00:00+00:00,3.4503,4.3091,3.4503,4.0063,2581936.84,10344013.562092
2020-08-29 00:00:00+00:00,4.007,4.1121,3.7748,3.9535,1342844.2,5308934.5446999995
2020-08-30 00:00:00+00:00,3.9531,4.7117,3.9,4.4309,1815681.99,8045105.329491001
2020-08-31 00:00:00+00:00,4.4127,4.8865,4.1,4.7435,1497129.12,7101631.98072
2020-09-01 00:00:00+00:00,4.7432,4.9475,4.3,4.3397,1267574.76,5500894.185972
2020-09-02 00:00:00+00:00,4.3213,4.3506,3.66,4.17,2002058.36,8348583.3612
2020-09-03 00:00:00+00:00,4.17,4.459,3.4772,3.5051,3275612.26,11481348.532526
2020-09-04 00:00:00+00:00,3.5062,3.8346,3.1739,3.5301,2052197.24,7244461.476924
2020-09-05 00:00:00+00:00,3.5301,3.6637,2.0926,2.6052,4426267.38,11531311.778376
2020-09-06 00:00:00+00:00,2.6119,3.18,2.2575,3.0941,2898758.91,8969049.943431001
2020-09-07 00:00:00+00:00,3.0785,3.1983,2.38,2.9237,2680083.17,7835759.164129
2020-09-08 00:00:00+00:00,2.9237,2.9499,2.4,2.468,1626389.7,4013929.7796
2020-09-09 00:00:00+00:00,2.468,3.8838,2.3821,3.6001,6691121.99,24088708.276198998
2020-09-10 00:00:00+00:00,3.6107,3.875,3.304,3.4761,4356890.66,15144987.623226002
2020-09-11 00:00:00+00:00,3.4707,3.5036,3.0316,3.3965,2227636.94,7566168.86671
2020-09-12 00:00:00+00:00,3.3967,3.47,3.1494,3.3316,1161542.47,3869794.8930519996
2020-09-13 00:00:00+00:00,3.3386,3.47,2.9838,3.2603,2024779.41,6601388.310423
