timestamp,open,high,low,close,volume,turnover
2018-01-01 00:00:00+00:00,8.5478,8.7,7.8,8.45,654338.84,5529163.197999999
2018-01-02 00:00:00+00:00,8.45,9.1133,8.0922,8.715,1262633.42,11003850.255299998
2018-01-03 00:00:00+00:00,8.7151,9.4697,8.2653,9.304,947392.65,8814541.2156
2018-01-04 00:00:00+00:00,9.304,9.6511,8.5595,9.143,964494.94,8818377.23642
2018-01-05 00:00:00+00:00,9.135,16.8172,8.9651,14.8908,2764977.04,41172720.107232004
2018-01-06 00:00:00+00:00,14.8908,23.6,14.6999,22.6,3130487.22,70749011.172
2018-01-07 00:00:00+00:00,22.6,22.6599,18.05,18.594,1543764.49,28704756.92706
2018-01-08 00:00:00+00:00,18.5375,19.2999,14.0018,17.9971,2112065.22,38011048.970862
2018-01-09 00:00:00+00:00,18.04,20.6114,16.435,17.399,1309277.95,22780127.052050002
2018-01-10 00:00:00+00:00,17.3992,17.5554,14.6004,17.5,1172651.15,20521395.125
2018-01-11 00:00:00+00:00,17.5,23.1079,13.66,21.2024,3542366.83,75106678.476392
2018-01-12 00:00:00+00:00,21.1022,25.18,19.1,22.1999,2902338.37,64431621.580163
2018-01-13 00:00:00+00:00,22.1999,23.4998,21.04,22.0246,1080455.71,23796604.830466
2018-01-14 00:00:00+00:00,22.0252,22.1,18.21,20.4541,1384083.33,28310178.840153
2018-01-15 00:00:00+00:00,20.4546,23.231,19.0113,19.3396,2288556.77,44259772.509092
2018-01-16 00:00:00+00:00,19.4376,19.4475,9.89,13.1996,9933431.45,131117321.76742
2018-01-17 00:00:00+00:00,13.0262,15.7,9.4001,14.1998,9971697.17,141596105.47456598
2018-01-18 00:00:00+00:00,14.1191,15.9,13.0203,14.1397,6699252.37,94725418.73608899
2018-01-19 00:00:00+00:00,14.0405,15.4799,13.501,14.9447,3004070.17,44894927.46959899
2018-01-20 00:00:00+00:00,14.9447,16.68,14.8249,16.1712,2617140.33,42322299.704495996
2018-01-21 00:00:00+00:00,16.1602,16.26,13.0339,14.1334,3318363.34,46899756.429556
2018-01-22 00:00:00+00:00,14.1334,14.4978,11.6101,12.91,2873190.83,37092893.6153
2018-01-23 00:00:00+00:00,12.9149,13.9,11.637,13.1022,2335831.96,30604537.506311998
2018-01-24 00:00:00+00:00,13.1494,14.3,12.6,13.8,1947186.76,26871177.288000003
