timestamp,open,high,low,close,volume,turnover
2019-01-16 00:00:00+00:00,0.5355,0.5355,0.4668,0.4895,1343660.31,657721.721745
2019-01-17 00:00:00+00:00,0.4895,0.4953,0.4639,0.4756,1411725.35,671416.5764600001
2019-01-18 00:00:00+00:00,0.4762,0.5112,0.4601,0.4894,984417.59,481773.96854599996
2019-01-19 00:00:00+00:00,0.4908,0.5,0.4673,0.4831,735443.2,355292.60991999996
2019-01-20 00:00:00+00:00,0.4803,0.492,0.459,0.4834,677499.56,327503.287304
2019-01-21 00:00:00+00:00,0.4839,0.5198,0.465,0.4972,897787.84,446380.11404799996
2019-01-22 00:00:00+00:00,0.496,0.5656,0.4956,0.5344,1784953.5,953879.1503999999
2019-01-23 00:00:00+00:00,0.5342,0.5475,0.4901,0.5046,1827069.39,921939.214194
2019-01-24 00:00:00+00:00,0.5046,0.5065,0.4518,0.5017,1529219.53,767209.4382010001
2019-01-25 00:00:00+00:00,0.5031,0.5157,0.4712,0.4739,1112869.08,527388.657012
2019-01-26 00:00:00+00:00,0.4736,0.4884,0.4624,0.4661,865653.89,403481.27812900004
2019-01-27 00:00:00+00:00,0.4661,0.4666,0.4229,0.4303,2278919.65,980619.125395
2019-01-28 00:00:00+00:00,0.431,0.4313,0.3504,0.4116,4006211.85,1648956.79746
2019-01-29 00:00:00+00:00,0.4104,0.4638,0.4061,0.4505,5190825.37,2338466.829185
2019-01-30 00:00:00+00:00,0.4505,0.4514,0.413,0.4249,2092369.59,889047.8387910001
2019-01-31 00:00:00+00:00,0.425,0.441,0.3811,0.3832,2029033.61,777525.679352
2019-02-01 00:00:00+00:00,0.385,0.43,0.38,0.4147,1899232.56,787611.742632
2019-02-02 00:00:00+00:00,0.4163,0.433,0.3985,0.4136,821033.48,339579.44732800004
2019-02-03 00:00:00+00:00,0.417,0.417,0.386,0.3963,1065170.56,422127.092928
2019-02-04 00:00:00+00:00,0.3959,0.4125,0.3867,0.3943,1449384.96,571492.489728
2019-02-05 00:00:00+00:00,0.3926,0.4327,0.3902,0.4224,1299107.03,548742.809472
2019-02-06 00:00:00+00:00,0.4224,0.4236,0.3915,0.4,1368546.21,547418.484
2019-02-07 00:00:00+00:00,0.4,0.4065,0.3913,0.4021,498842.36,200584.512956
2019-02-08 00:00:00+00:00,0.4021,0.45,0.3985,0.4383,2015969.58,883599.4669140001
2019-02-09 00:00:00+00:00,0.4371,0.4844,0.431,0.4612,1384815.95,638677.1161399999
2019-02-10 00:00:00+00:00,0.4648,0.48,0.4325,0.4499,2000850.55,900182.662445
2019-02-11 00:00:00+00:00,0.4495,0.4515,0.42,0.4289,1580197.39,677746.660571
2019-02-12 00:00:00+00:00,0.4277,0.4374,0.4176,0.4277,941303.58,402595.541166
2019-02-13 00:00:00+00:00,0.4277,0.4454,0.4183,0.4411,935377.38,412594.962318
2019-02-14 00:00:00+00:00,0.4422,0.4442,0.4203,0.4259,942053.44,401220.560096
2019-02-15 00:00:00+00:00,0.4235,0.45,0.4222,0.4342,612251.8,265839.73156
2019-02-16 00:00:00+00:00,0.4366,0.4464,0.4251,0.4398,465491.58,204723.196884
2019-02-17 00:00:00+00:00,0.4386,0.4797,0.4317,0.4604,1616509.72,744241.0750879999
2019-02-18 00:00:00+00:00,0.4615,0.4823,0.4534,0.471,1430254.78,673650.00138
2019-02-19 00:00:00+00:00,0.471,0.4789,0.452,0.4598,1548002.44,711771.5219119999
2019-02-20 00:00:00+00:00,0.4548,0.4748,0.4432,0.4618,1358786.28,627487.504104
2019-02-21 00:00:00+00:00,0.4617,0.475,0.438,0.4438,1443214.98,640498.808124
2019-02-22 00:00:00+00:00,0.4438,0.465,0.44,0.4479,700523.77,313764.59658300004
2019-02-23 00:00:00+00:00,0.448,0.464,0.4437,0.4585,925529.64,424355.33994000003
2019-02-24 00:00:00+00:00,0.4592,0.4644,0.3975,0.405,2154193.25,872448.2662500001
2019-02-25 00:00:00+00:00,0.4047,0.4749,0.4007,0.4723,1785356.21,843223.737983
2019-02-26 00:00:00+00:00,0.4722,0.474,0.43,0.4341,1775526.67,770756.1274469999
2019-02-27 00:00:00+00:00,0.4335,0.4412,0.4145,0.4274,854212.45,365090.40112999995
2019-02-28 00:00:00+00:00,0.4274,0.45,0.4166,0.4244,1059968.13,449850.47437199997
2019-03-01 00:00:00+00:00,0.4236,0.4386,0.4203,0.4285,560690.81,240256.01208500002
2019-03-02 00:00:00+00:00,0.4286,0.4372,0.4173,0.4221,331570.0,139955.697
2019-03-03 00:00:00+00:00,0.4232,0.4292,0.4177,0.4205,225429.95,94793.29397500001
2019-03-04 00:00:00+00:00,0.4203,0.4255,0.3929,0.4036,946382.19,381959.851884
2019-03-05 00:00:00+00:00,0.4029,0.4343,0.4023,0.4291,1686179.9,723539.7950899999
2019-03-06 00:00:00+00:00,0.4291,0.4385,0.4186,0.4296,716328.15,307734.57324
2019-03-07 00:00:00+00:00,0.4296,0.4766,0.4256,0.4521,1498764.03,677591.2179630001
2019-03-08 00:00:00+00:00,0.4521,0.5107,0.4519,0.4611,3248280.83,1497782.290713
2019-03-09 00:00:00+00:00,0.4611,0.4824,0.4524,0.4746,1381686.43,655748.379678
2019-03-10 00:00:00+00:00,0.4742,0.546,0.4681,0.4981,2887991.86,1438508.745466
2019-03-11 00:00:00+00:00,0.4982,0.5181,0.4382,0.4629,2633054.21,1218840.793809
